XPATH,VERSION,COUNT
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine1Txt,2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,16683
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2,2013v3.1;;2013v4.0,29
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessName/BusinessNameLine2Txt,2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.3;;2018v3.1;;2019v5.0;;2020v4.0;;2021v4.0;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0,4233
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/BusinessNameControlTxt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,17272
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/EIN,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,17272
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,17254
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1,2013v3.0;;2013v3.1;;2013v4.0,588
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine1Txt,2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,16666
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2,2013v3.0,17
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/AddressLine2Txt,2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2017v2.3;;2018v3.1;;2019v5.0;;2019v5.1;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.2;;2022v5.0;;2023v5.0,421
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/City,2013v3.0;;2013v3.1;;2013v4.0,588
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/CityNm,2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,16666
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/State,2013v3.0;;2013v3.1;;2013v4.0,588
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/StateAbbreviationCd,2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,16666
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCd,2014v5.0;;2014v6.0;;2015v2.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.0;;2018v3.1;;2018v3.2;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v4.1;;2022v5.0;;2023v4.0;;2023v5.0;;2023v5.1,16666
/Return/ReturnData/AffiliateListing/AffiliateListingGrp/USAddress/ZIPCode,2013v3.0;;2013v3.1;;2013v4.0,588
