xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/AddressLine1,F9_00_HD_PREPAREUS1,F9_00_PREP_FIRM_ADDR_L01,24,US Address of Preparer FIrm (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/AddressLine1Txt,F9_00_HD_PREPAREUS1,F9_00_PREP_FIRM_ADDR_L01,24,US Address of Preparer FIrm (Line 1),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/AddressLine2,F9_00_HD_PREPAREFOR2,F9_00_PREP_FIRM_ADDR_L02,24,Foreign Address of Preparer Firm (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmUSAddress/AddressLine2,F9_00_HD_PREPAREUS2,F9_00_PREP_FIRM_ADDR_L02,24,US Address of Preparer Firm (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/AddressLine2,F9_00_HD_PREPAREFOR2,F9_00_PREP_FIRM_ADDR_L02,24,Foreign Address of Preparer Firm (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerForeignAddress/AddressLine2Txt,F9_00_HD_PREPAREFOR2,F9_00_PREP_FIRM_ADDR_L02,24,Foreign Address of Preparer Firm (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/AddressLine2,F9_00_HD_PREPAREUS2,F9_00_PREP_FIRM_ADDR_L02,24,US Address of Preparer Firm (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/AddressLine2Txt,F9_00_HD_PREPAREUS2,F9_00_PREP_FIRM_ADDR_L02,24,US Address of Preparer Firm (Line 2),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,StreetAddressType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/Country,F9_00_HD_PREPAREFORCTRY,F9_00_PREP_FIRM_ADDR_STATE,26,Foreign Address of Preparer Firm (Country),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CountryType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmForeignAddress/ProvinceOrState,F9_00_HD_PREPAREFORSTATE,F9_00_PREP_FIRM_ADDR_STATE,26,Foreign Address of Preparer Firm (Province or State),,F990-PART-02,HEADER,F990,PC,PART-02,,HD,TextType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
