xpath,variable_name,description,location_code_xsd,location_code_family,location_code,form,form_type,form_part,form_line_number,variable_scope,data_type_xsd,data_type_simple,rdb_relationship,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated
/Return/ReturnHeader/PreparerFirm/EIN,F9_02_PREP_FIRM_EIN,Employer Identification Number of Preparer Firm,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,EINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmEIN,F9_02_PREP_FIRM_EIN,Employer Identification Number of Preparer Firm,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,EINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmBusinessName/BusinessNameLine1,F9_02_PREP_FIRM_NAME_L1,Paid Preparer Firm Name (Line 1),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BusinessNameLine1Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine1,F9_02_PREP_FIRM_NAME_L1,Paid Preparer Firm Name (Line 1),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BusinessNameLine1Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine1Txt,F9_02_PREP_FIRM_NAME_L1,Paid Preparer Firm Name (Line 1),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BusinessNameLine1Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/PreparerFirm/PreparerFirmBusinessName/BusinessNameLine2,F9_02_PREP_FIRM_NAME_L2,Paid Preparer Firm Name (Line 2),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BusinessNameLine2Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine2,F9_02_PREP_FIRM_NAME_L2,Paid Preparer Firm Name (Line 2),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BusinessNameLine2Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0,2013,F,T,,
/Return/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine2Txt,F9_02_PREP_FIRM_NAME_L2,Paid Preparer Firm Name (Line 2),,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,BusinessNameLine2Type,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
/Return/ReturnHeader/Preparer/Name,F9_02_PREP_NAME,Paid Preparer Name,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,
/Return/ReturnHeader/PreparerPersonGrp/PreparerPersonNm,F9_02_PREP_NAME,Paid Preparer Name,,F990-PC-PART-02,F990-PC-PART-02,F990,PC,PART-02,Part 02,SG,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,
